Tabela,Data,Kurs średni,Zmiana
203/A/NBP/2022,2022-10-19,4.8899,-0.39
202/A/NBP/2022,2022-10-18,4.9091,-0.61
201/A/NBP/2022,2022-10-17,4.9392,-0.27
200/A/NBP/2022,2022-10-14,4.9526,-0.88
199/A/NBP/2022,2022-10-13,4.9964,-0.53
198/A/NBP/2022,2022-10-12,5.0231,0.1
197/A/NBP/2022,2022-10-11,5.0179,-0.38
196/A/NBP/2022,2022-10-10,5.0372,0.61
195/A/NBP/2022,2022-10-07,5.0065,0.38
194/A/NBP/2022,2022-10-06,4.9874,1.17
193/A/NBP/2022,2022-10-05,4.9299,0.17
192/A/NBP/2022,2022-10-04,4.9215,-1.19
191/A/NBP/2022,2022-10-03,4.9806,-1.79
190/A/NBP/2022,2022-09-30,5.0714,-0.95
189/A/NBP/2022,2022-09-29,5.12,0.97
188/A/NBP/2022,2022-09-28,5.071,1.15
187/A/NBP/2022,2022-09-27,5.0135,0.58
186/A/NBP/2022,2022-09-26,4.9846,0.29
185/A/NBP/2022,2022-09-23,4.9701,0.16
184/A/NBP/2022,2022-09-22,4.9621,-0.13
183/A/NBP/2022,2022-09-21,4.9687,1.88
182/A/NBP/2022,2022-09-20,4.8772,-0.19
181/A/NBP/2022,2022-09-19,4.8864,-0.55
180/A/NBP/2022,2022-09-16,4.9134,-0.01
179/A/NBP/2022,2022-09-15,4.9137,-0.08
178/A/NBP/2022,2022-09-14,4.9174,0.87
177/A/NBP/2022,2022-09-13,4.8752,0.67
176/A/NBP/2022,2022-09-12,4.8428,-0.54
175/A/NBP/2022,2022-09-09,4.8693,0.53
174/A/NBP/2022,2022-09-08,4.8438,0.05
173/A/NBP/2022,2022-09-07,4.8413,0.21
172/A/NBP/2022,2022-09-06,4.8311,-0.36
171/A/NBP/2022,2022-09-05,4.8487,0.52
170/A/NBP/2022,2022-09-02,4.8237,0.26
169/A/NBP/2022,2022-09-01,4.8112,-0.73
168/A/NBP/2022,2022-08-31,4.8467,-0.44
167/A/NBP/2022,2022-08-30,4.8679,-1.34
166/A/NBP/2022,2022-08-29,4.9342,0.3
165/A/NBP/2022,2022-08-26,4.9196,-0.44
164/A/NBP/2022,2022-08-25,4.9415,-1
163/A/NBP/2022,2022-08-24,4.9916,0.44
162/A/NBP/2022,2022-08-23,4.9696,0.51
161/A/NBP/2022,2022-08-22,4.9444,0.58
160/A/NBP/2022,2022-08-19,4.9159,0.87
159/A/NBP/2022,2022-08-18,4.8733,0.48
158/A/NBP/2022,2022-08-17,4.85,-0.58
157/A/NBP/2022,2022-08-16,4.8784,0.96
156/A/NBP/2022,2022-08-12,4.8318,0.38
155/A/NBP/2022,2022-08-11,4.8134,-0.66
154/A/NBP/2022,2022-08-10,4.8454,0.45
153/A/NBP/2022,2022-08-09,4.8239,0.21
152/A/NBP/2022,2022-08-08,4.8137,-0.03
151/A/NBP/2022,2022-08-05,4.8153,-0.15
150/A/NBP/2022,2022-08-04,4.8226,0.21
149/A/NBP/2022,2022-08-03,4.8127,-0.4
148/A/NBP/2022,2022-08-02,4.8322,-0.84
147/A/NBP/2022,2022-08-01,4.873,0.1
146/A/NBP/2022,2022-07-29,4.8682,-0.73
145/A/NBP/2022,2022-07-28,4.904,0
144/A/NBP/2022,2022-07-27,4.9039,2.29
143/A/NBP/2022,2022-07-26,4.7943,0.05
142/A/NBP/2022,2022-07-25,4.7917,-1.16
141/A/NBP/2022,2022-07-22,4.8479,0.98
140/A/NBP/2022,2022-07-21,4.8008,0.05
139/A/NBP/2022,2022-07-20,4.7982,-0.11
138/A/NBP/2022,2022-07-19,4.8036,-0.73
137/A/NBP/2022,2022-07-18,4.8387,-1.11
136/A/NBP/2022,2022-07-15,4.893,-0.21
135/A/NBP/2022,2022-07-14,4.9035,-0.47
134/A/NBP/2022,2022-07-13,4.9269,0.49
133/A/NBP/2022,2022-07-12,4.9031,1.28
132/A/NBP/2022,2022-07-11,4.8409,-0.25
131/A/NBP/2022,2022-07-08,4.8528,0.23
130/A/NBP/2022,2022-07-07,4.8418,0.27
129/A/NBP/2022,2022-07-06,4.8287,1.36
128/A/NBP/2022,2022-07-05,4.7641,1.56
127/A/NBP/2022,2022-07-04,4.6911,-0.35
126/A/NBP/2022,2022-07-01,4.7075,0.36
125/A/NBP/2022,2022-06-30,4.6904,0.63
124/A/NBP/2022,2022-06-29,4.6611,0.21
123/A/NBP/2022,2022-06-28,4.6513,0.43
122/A/NBP/2022,2022-06-27,4.6314,-0.48
121/A/NBP/2022,2022-06-24,4.6538,0.35
120/A/NBP/2022,2022-06-23,4.6375,1.22
119/A/NBP/2022,2022-06-22,4.5818,0.67
118/A/NBP/2022,2022-06-21,4.5511,-1.05
117/A/NBP/2022,2022-06-20,4.5993,-0.5
116/A/NBP/2022,2022-06-17,4.6223,3.7
115/A/NBP/2022,2022-06-15,4.4574,-0.87
114/A/NBP/2022,2022-06-14,4.4967,0.84
113/A/NBP/2022,2022-06-13,4.4594,0.68
112/A/NBP/2022,2022-06-10,4.4292,1.36
111/A/NBP/2022,2022-06-09,4.3696,-0.31
110/A/NBP/2022,2022-06-08,4.3834,-0.38
109/A/NBP/2022,2022-06-07,4.4,-0.93
108/A/NBP/2022,2022-06-06,4.4412,-0.3
107/A/NBP/2022,2022-06-03,4.4547,-0.32
106/A/NBP/2022,2022-06-02,4.4689,0.35
105/A/NBP/2022,2022-06-01,4.4531,0.32
104/A/NBP/2022,2022-05-31,4.4387,-0.35
103/A/NBP/2022,2022-05-30,4.4544,-0.6
102/A/NBP/2022,2022-05-27,4.4814,-0.42
101/A/NBP/2022,2022-05-26,4.5003,0.62
100/A/NBP/2022,2022-05-25,4.4727,0.01
99/A/NBP/2022,2022-05-24,4.4723,-0.07
98/A/NBP/2022,2022-05-23,4.4755,-0.68
97/A/NBP/2022,2022-05-20,4.5061,-0.53
